week,disease,state,cases,deaths,cfr,report_date,year,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,who_country_cases,population,urban_percent,cases_last_week,deaths_last_week,cases_per_100k,rainfall_change,temp_anomaly,week_sin,week_cos
1,Covid-19,Jigawa,2.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,2.0,0.0,0.0009345961178624959,0.0,0.0,0.12053668025532305,0.992708874098054
36,Covid-19,Jigawa,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,2.0,0.0,0.0,0.0,0.0,-0.9350162426854147,-0.3546048870425359
46,Covid-19,Jigawa,2.0,0.0,0.0,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0009345961178624959,0.0,0.0,-0.6631226582407955,0.7485107481711007
1,Covid-19,Kaduna,4.0,0.0,0.0,2020-01-02,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0018691922357249918,0.0,0.0,0.12053668025532305,0.992708874098054
1,Covid-19,Kaduna,1.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,9.0,0.0,0.00046729805893124795,0.0,0.0,0.12053668025532305,0.992708874098054
10,Covid-19,Kaduna,4.0,0.0,0.0,2025-03-04,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,4.0,0.0,0.0018691922357249918,0.0,0.0,0.9350162426854148,0.35460488704253557
36,Covid-19,Kaduna,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,4.0,0.0,0.0,0.0,0.0,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Kaduna,1.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.00046729805893124795,0.0,0.0,-0.822983865893657,0.5680647467311548
45,Covid-19,Kaduna,5.0,0.0,0.0,2025-11-04,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,1.0,0.0,0.0023364902946562396,0.0,0.0,-0.7485107481711011,0.6631226582407952
46,Covid-19,Kaduna,9.0,0.0,0.0,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,5.0,0.0,0.004205682530381232,0.0,0.0,-0.6631226582407955,0.7485107481711007
1,Covid-19,Kano,77.0,1.0,1.3,2020-01-01,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.035981950537706094,0.0,0.0,0.12053668025532305,0.992708874098054
1,Covid-19,Kano,1.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.00046729805893124795,0.0,0.0,0.12053668025532305,0.992708874098054
30,Covid-19,Kano,0.0,0.0,0.0,2025-07-24,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,77.0,1.0,0.0,0.0,0.0,-0.46472317204376806,-0.8854560256532101
36,Covid-19,Kano,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Kano,0.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.822983865893657,0.5680647467311548
45,Covid-19,Kano,0.0,0.0,0.0,2025-11-07,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
46,Covid-19,Kano,73.0,1.0,1.37,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0341127583019811,0.0,0.0,-0.6631226582407955,0.7485107481711007
48,Covid-19,Kano,0.0,0.0,0.0,2025-11-30,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,73.0,1.0,0.0,0.0,0.0,-0.4647231720437684,0.88545602565321
1,Covid-19,Katsina,30.0,1.0,3.33,2020-01-01,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.01401894176793744,0.0,-3.552713678800501e-15,0.12053668025532305,0.992708874098054
1,Covid-19,Katsina,12.0,1.0,8.33,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,21.0,1.0,0.005607576707174975,0.0,-3.552713678800501e-15,0.12053668025532305,0.992708874098054
30,Covid-19,Katsina,0.0,0.0,0.0,2025-07-24,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,30.0,1.0,0.0,0.0,-3.552713678800501e-15,-0.46472317204376806,-0.8854560256532101
36,Covid-19,Katsina,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Katsina,0.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.822983865893657,0.5680647467311548
